部,請求番号,書名,缺冊,内閣ID,manifest
子部,３０３－０１０５,脈訣彙辨,1,4916718,https://www.digital.archives.go.jp/api/iiif/4916718/manifest.json
子部,３０３－０１０５,脈訣彙辨,2,4916719,https://www.digital.archives.go.jp/api/iiif/4916719/manifest.json
子部,３０３－０１０５,脈訣彙辨,5,4916722,https://www.digital.archives.go.jp/api/iiif/4916722/manifest.json
子部,３０３－０１０５,脈訣彙辨,6,4916723,https://www.digital.archives.go.jp/api/iiif/4916723/manifest.json
子部,３０２－０００１,薛氏醫按,3,578280,https://www.digital.archives.go.jp/api/iiif/578280/manifest.json
子部,３０２－０００１,薛氏醫按,6,578281,https://www.digital.archives.go.jp/api/iiif/578281/manifest.json
子部,３０２－０００１,薛氏醫按,14,578287,https://www.digital.archives.go.jp/api/iiif/578287/manifest.json
子部,３０２－０００１,薛氏醫按,15,578189,https://www.digital.archives.go.jp/api/iiif/578189/manifest.json
子部,３０２－０００１,薛氏醫按,16,578178,https://www.digital.archives.go.jp/api/iiif/578178/manifest.json
子部,３０２－０００１,薛氏醫按,20,578288,https://www.digital.archives.go.jp/api/iiif/578288/manifest.json
子部,３０２－０００２,薛氏醫按,10,593305,https://www.digital.archives.go.jp/api/iiif/593305/manifest.json
子部,３０２－００６６,證治大還,12,577957,https://www.digital.archives.go.jp/api/iiif/577957/manifest.json
子部,３０２－００９３,醫學啓蒙彙編,5,4915515,https://www.digital.archives.go.jp/api/iiif/4915515/manifest.json
子部,３０２－０１３１,醫方類聚,8,4915672,https://www.digital.archives.go.jp/api/iiif/4915672/manifest.json
子部,３０２－０１３１,醫方類聚,11,4915675,https://www.digital.archives.go.jp/api/iiif/4915675/manifest.json
子部,３０２－０１３１,醫方類聚,13,4915677,https://www.digital.archives.go.jp/api/iiif/4915677/manifest.json
子部,３０２－０１３１,醫方類聚,16,4915680,https://www.digital.archives.go.jp/api/iiif/4915680/manifest.json
子部,３０２－０１３１,醫方類聚,20,4915684,https://www.digital.archives.go.jp/api/iiif/4915684/manifest.json
子部,３０２－０１３１,醫方類聚,21,4915685,https://www.digital.archives.go.jp/api/iiif/4915685/manifest.json
子部,３０２－０１３１,醫方類聚,34,4915698,https://www.digital.archives.go.jp/api/iiif/4915698/manifest.json
子部,３０３－００４３,醫經原旨,6,4916626,https://www.digital.archives.go.jp/api/iiif/4916626/manifest.json
子部,３０５－００２０,重刊孫真人備急千金要方,9,4771163,https://www.digital.archives.go.jp/api/iiif/4771163/manifest.json
子部,３０５－００２０,重刊孫真人備急千金要方,10,4771165,https://www.digital.archives.go.jp/api/iiif/4771165/manifest.json
子部,３０５－００２０,重刊孫真人備急千金要方,12,4771169,https://www.digital.archives.go.jp/api/iiif/4771169/manifest.json
子部,３０５－００２０,重刊孫真人備急千金要方,17,4771178,https://www.digital.archives.go.jp/api/iiif/4771178/manifest.json
子部,３０５－００２０,重刊孫真人備急千金要方,19,4771181,https://www.digital.archives.go.jp/api/iiif/4771181/manifest.json
子部,３０５－００２０,重刊孫真人備急千金要方,23,4771185,https://www.digital.archives.go.jp/api/iiif/4771185/manifest.json
子部,３０５－００２０,重刊孫真人備急千金要方,30,4771197,https://www.digital.archives.go.jp/api/iiif/4771197/manifest.json
子部,３０５－００４０,重刻太平惠民和劑局方,2,4918621,https://www.digital.archives.go.jp/api/iiif/4918621/manifest.json
子部,３０１－０１３７,重梓常山舒元貴先生醫方啓蒙,7,4770394,https://www.digital.archives.go.jp/api/iiif/4770394/manifest.json
子部,３０４－０２４８,鍼灸資生經,1,4917858,https://www.digital.archives.go.jp/api/iiif/4917858/manifest.json
子部,子０４５－０００２,食物本草,2,4756664,https://www.digital.archives.go.jp/api/iiif/4756664/manifest.json
子部,子０４５－０００２,食物本草,3,4756665,https://www.digital.archives.go.jp/api/iiif/4756665/manifest.json
子部,子０４５－０００２,食物本草,4,4756666,https://www.digital.archives.go.jp/api/iiif/4756666/manifest.json
子部,子０４５－０００２,食物本草,5,4756667,https://www.digital.archives.go.jp/api/iiif/4756667/manifest.json
子部,子０４５－０００２,食物本草,6,4756668,https://www.digital.archives.go.jp/api/iiif/4756668/manifest.json
子部,子０４５－０００２,食物本草,7,4756669,https://www.digital.archives.go.jp/api/iiif/4756669/manifest.json
子部,子０４５－０００２,食物本草,8,4756670,https://www.digital.archives.go.jp/api/iiif/4756670/manifest.json
子部,子０４５－０００２,食物本草,9,4756671,https://www.digital.archives.go.jp/api/iiif/4756671/manifest.json
子部,子０４５－０００２,食物本草,11,4756673,https://www.digital.archives.go.jp/api/iiif/4756673/manifest.json
子部,子０４５－０００２,食物本草,13,4756675,https://www.digital.archives.go.jp/api/iiif/4756675/manifest.json
子部,子０４５－０００２,食物本草,14,4756676,https://www.digital.archives.go.jp/api/iiif/4756676/manifest.json
子部,子０４５－０００２,食物本草,15,4756677,https://www.digital.archives.go.jp/api/iiif/4756677/manifest.json
子部,子０４５－０００２,食物本草,16,4756678,https://www.digital.archives.go.jp/api/iiif/4756678/manifest.json
子部,子０４５－０００２,食物本草,18,4756680,https://www.digital.archives.go.jp/api/iiif/4756680/manifest.json
子部,子０４５－０００２,食物本草,19,4756681,https://www.digital.archives.go.jp/api/iiif/4756681/manifest.json
子部,子０４５－０００２,食物本草,20,4756682,https://www.digital.archives.go.jp/api/iiif/4756682/manifest.json
子部,３０４－０２９２,食物本草,1,4774071,https://www.digital.archives.go.jp/api/iiif/4774071/manifest.json
子部,３０４－０２９２,食物本草,4,4774074,https://www.digital.archives.go.jp/api/iiif/4774074/manifest.json
子部,３０４－０２９２,食物本草,5,4774075,https://www.digital.archives.go.jp/api/iiif/4774075/manifest.json
子部,３０４－０２９２,食物本草,6,4774076,https://www.digital.archives.go.jp/api/iiif/4774076/manifest.json
子部,３０４－０２９２,食物本草,7,4774077,https://www.digital.archives.go.jp/api/iiif/4774077/manifest.json
子部,３０４－０２９２,食物本草,8,4774078,https://www.digital.archives.go.jp/api/iiif/4774078/manifest.json
子部,３０４－０２９２,食物本草,9,4774079,https://www.digital.archives.go.jp/api/iiif/4774079/manifest.json
子部,３０４－０２９２,食物本草,10,4774080,https://www.digital.archives.go.jp/api/iiif/4774080/manifest.json
子部,３０４－０２９２,食物本草,11,4774082,https://www.digital.archives.go.jp/api/iiif/4774082/manifest.json
子部,３０４－０２９２,食物本草,12,4774083,https://www.digital.archives.go.jp/api/iiif/4774083/manifest.json
子部,３０４－０２９２,食物本草,13,4774084,https://www.digital.archives.go.jp/api/iiif/4774084/manifest.json
子部,３０４－０２９２,食物本草,14,4774085,https://www.digital.archives.go.jp/api/iiif/4774085/manifest.json
子部,３０４－０２９２,食物本草,15,4774086,https://www.digital.archives.go.jp/api/iiif/4774086/manifest.json
子部,３０４－０２９２,食物本草,16,4774087,https://www.digital.archives.go.jp/api/iiif/4774087/manifest.json
子部,３０４－０２９２,食物本草,17,4774088,https://www.digital.archives.go.jp/api/iiif/4774088/manifest.json
子部,３０４－０２９２,食物本草,18,4774089,https://www.digital.archives.go.jp/api/iiif/4774089/manifest.json
子部,３０４－０２９２,食物本草,19,4774090,https://www.digital.archives.go.jp/api/iiif/4774090/manifest.json
子部,３０４－０２９２,食物本草,20,4774091,https://www.digital.archives.go.jp/api/iiif/4774091/manifest.json
子部,３０４－０２９２,食物本草,21,4774092,https://www.digital.archives.go.jp/api/iiif/4774092/manifest.json
子部,３０４－０２９２,食物本草,22,4774093,https://www.digital.archives.go.jp/api/iiif/4774093/manifest.json
子部,３００－０１７１,黃帝內經素問註證發微,1,4105245,https://www.digital.archives.go.jp/api/iiif/4105245/manifest.json
子部,３００－０１７１,黃帝內經素問註證發微,11,4105259,https://www.digital.archives.go.jp/api/iiif/4105259/manifest.json
子部,子０４８－０００３,鼎鍥幼幼集成,1,4490575,https://www.digital.archives.go.jp/api/iiif/4490575/manifest.json
子部,子０４８－０００３,鼎鍥幼幼集成,2,4490576,https://www.digital.archives.go.jp/api/iiif/4490576/manifest.json
子部,子０４８－０００３,鼎鍥幼幼集成,3,4490574,https://www.digital.archives.go.jp/api/iiif/4490574/manifest.json
子部,子０４８－０００３,鼎鍥幼幼集成,4,4490577,https://www.digital.archives.go.jp/api/iiif/4490577/manifest.json
子部,子０４８－０００３,鼎鍥幼幼集成,5,4490578,https://www.digital.archives.go.jp/api/iiif/4490578/manifest.json
子部,子０４８－０００３,鼎鍥幼幼集成,6,4490579,https://www.digital.archives.go.jp/api/iiif/4490579/manifest.json
子部,子０４８－０００３,鼎鍥幼幼集成,7,4491229,https://www.digital.archives.go.jp/api/iiif/4491229/manifest.json
子部,子０４８－０００３,鼎鍥幼幼集成,8,4491230,https://www.digital.archives.go.jp/api/iiif/4491230/manifest.json
子部,子０４８－０００３,鼎鍥幼幼集成,9,4491231,https://www.digital.archives.go.jp/api/iiif/4491231/manifest.json
子部,子０４８－０００３,鼎鍥幼幼集成,10,4491232,https://www.digital.archives.go.jp/api/iiif/4491232/manifest.json
子部,子０４８－０００３,鼎鍥幼幼集成,11,4491233,https://www.digital.archives.go.jp/api/iiif/4491233/manifest.json
子部,３０４－００１６,鼎鍥幼幼集成,2,4917364,https://www.digital.archives.go.jp/api/iiif/4917364/manifest.json
