"id","manifest"
"1076957","https://www.digital.archives.go.jp/api/iiif/1076957/manifest.json"
"1076961","https://www.digital.archives.go.jp/api/iiif/1076961/manifest.json"
"1076962","https://www.digital.archives.go.jp/api/iiif/1076962/manifest.json"
"1076967","https://www.digital.archives.go.jp/api/iiif/1076967/manifest.json"
"1077018","https://www.digital.archives.go.jp/api/iiif/1077018/manifest.json"
"1077020","https://www.digital.archives.go.jp/api/iiif/1077020/manifest.json"
"1077021","https://www.digital.archives.go.jp/api/iiif/1077021/manifest.json"
"1077022","https://www.digital.archives.go.jp/api/iiif/1077022/manifest.json"
"1077028","https://www.digital.archives.go.jp/api/iiif/1077028/manifest.json"
"1077080","https://www.digital.archives.go.jp/api/iiif/1077080/manifest.json"
"1077126","https://www.digital.archives.go.jp/api/iiif/1077126/manifest.json"
"1077128","https://www.digital.archives.go.jp/api/iiif/1077128/manifest.json"
"1077150","https://www.digital.archives.go.jp/api/iiif/1077150/manifest.json"
"1077152","https://www.digital.archives.go.jp/api/iiif/1077152/manifest.json"
"1077201","https://www.digital.archives.go.jp/api/iiif/1077201/manifest.json"
"1077209","https://www.digital.archives.go.jp/api/iiif/1077209/manifest.json"
"1077210","https://www.digital.archives.go.jp/api/iiif/1077210/manifest.json"
"1077724","https://www.digital.archives.go.jp/api/iiif/1077724/manifest.json"
"1077727","https://www.digital.archives.go.jp/api/iiif/1077727/manifest.json"
"1077728","https://www.digital.archives.go.jp/api/iiif/1077728/manifest.json"
"1077783","https://www.digital.archives.go.jp/api/iiif/1077783/manifest.json"
"1077787","https://www.digital.archives.go.jp/api/iiif/1077787/manifest.json"
"1077908","https://www.digital.archives.go.jp/api/iiif/1077908/manifest.json"
"1077979","https://www.digital.archives.go.jp/api/iiif/1077979/manifest.json"
"1077985","https://www.digital.archives.go.jp/api/iiif/1077985/manifest.json"
"1077988","https://www.digital.archives.go.jp/api/iiif/1077988/manifest.json"
"1078023","https://www.digital.archives.go.jp/api/iiif/1078023/manifest.json"
"1078078","https://www.digital.archives.go.jp/api/iiif/1078078/manifest.json"
"1078079","https://www.digital.archives.go.jp/api/iiif/1078079/manifest.json"
"1078080","https://www.digital.archives.go.jp/api/iiif/1078080/manifest.json"
"1078084","https://www.digital.archives.go.jp/api/iiif/1078084/manifest.json"
"1078085","https://www.digital.archives.go.jp/api/iiif/1078085/manifest.json"
"1078088","https://www.digital.archives.go.jp/api/iiif/1078088/manifest.json"
"1078090","https://www.digital.archives.go.jp/api/iiif/1078090/manifest.json"
